"site","lat","lon"
"ABR",48.35,7.066666667
"AMN",48.73333333,6.316666667
"GRA",48.47,4.13
"AMA",48.746533,6.32
"GRD",48.48333333,7.15
"PES",41.86666667,14.5
"WAL",48.36666667,7.083333333
"BOR",46.73333333,12.31666667
"SER",38.76666667,16.51666667
"ARV",48.43333333,-71.15
"SIM",48.21666667,-71.25
"L24",49.96666667,-72.5
"L23",49.96666667,-72.5
"SIM2",48.2,-71.23333333
"SYG",29.65,94.7
"T4",36.57,29.96
"O1",49.92,11.58
"T1",36.57,29.98
"T2",36.57,29.96
"T3",36.57,29.98
"SDL",38.45,99.93333333
"PEN",41.6447,-0.972
"5T1",46.45,12.13333333
"N13d",46.38666667,7.755
"S22",46.39166667,7.736666667
"S16",46.39166667,7.75
"S19",46.39166667,7.75
"N19",46.38666667,7.768333333
"N13w",46.38333333,7.75
"5T2",46.45833333,12.13333333
"N22",46.37333333,7.768333333
"5T3",46.45,12.125
"N08",46.38333333,7.75
"DRY",47.23333333,10.83333333
"N16",46.38666667,7.755
"SUS",45.05,6.666666667
"BLJ",50.73333333,15.65
"BLS",50.73333333,15.65
"LH1",50.7,15.65
"RUO",60.2,25
"LAV",46.2137,11.2942
"RAJ",49.44,16.69
"MEN",46.26666667,14.8
"LH2",50.71666667,15.66666667
"HYY",61.88333333,24.3
"SISW",50.76666667,15.63333333
"KIV",66.2,26.38333333
"SISE",50.75,15.65
"PAN",46,14.66666667
"SVT",46.43333333,12.21666667
"SAV",45.5637,11.0333
"DAN",50.68333333,-72.18333333
"BER",48.85,-70.33333333
"MIS",49.71666667,-71.93333333
"MIR",53.78333333,-72.86666667
"KRU",47.2,11.45
"TIM",47.2,11.45
"TRE",47.2,11.45
"SSM",38.88333333,-114.3333333
"SSW",38.9,-114.3
"MAI",38.5172,-0.6383
"JAR",39.15,-1.151623
"GUA",38.100583,-0.653133
"JAN",39.19,-1.154167
"POL",39.9,16.2
"TDR",41.26,23.25
"VRN",41.46,23.25
"ZWY",23.18333333,113.3666667
"JGS",31.85,114.0833333
"SMT",24.4,113.2
"DHS",23.18333333,112.5333333
"TCH",40.36,-8.82
"SHM",36.98333333,-115.35
"MYL",41.79,-1.82
"SOB",49.15,16.36
"MYH",41.79,-1.82
"VAR",67.5,29.38333333
"VIL",40.52,0.66
"HSM",37.03333333,104.4666667
